year,agriculture,buildings,fuel,industrial,power,processes,transport,waste,total,previousYear,annualGrowth,annualGrowthRate
1970,49143280.0,2926458210,1562255700,3744304790,3823699380,915670260,2796286630,7605310.0,15825423560,,,
1971,49143280.0,2939568250,1574399640,3511721000,3910981430,921879020,2876504750,7779280.0,15791976650,1970.0,-33446910.0,-0.0021134922470283633
1972,49143280.0,3056870830,1654467710,3602041960,4189105950,990161470,3045881600,7957960.0,16595630760,1971.0,803654110.0,0.05089002648696292
1973,49143280.0,3120449100,1828873470,3788025160,4524711260,1030394450,3221973380,8139190.0,17571709290,1972.0,976078530.0,0.05881539208215066
1974,49900340.0,3040634680,1824605510,3774962600,4603893540,1007746630,3191503490,8320049.999999999,17501566840,1973.0,-70142450.0,-0.003991782975826821
1975,54512380.0,3115179440,1684688470,3648618030,4695749010,968063440,3275105000,8498050.0,17450413820,1974.0,-51153020.0,-0.0029227680280081714
1976,57643820.0,3242335510,1817499830,3816719150,5054509210,1042827320,3407824220,8644690.0,18448003750,1975.0,997589930.0,0.05716712166771985
1977,62076190.0,3260735310,1822753730,3984906180,5275518190,1064281300,3529011510,8787220.0,19008069630,1976.0,560065880.0,0.030359159049932437
1978,66330259.99999999,3361432960,1815754200,4037429030,5447839730,1098263170,3672809250,8926310.0,19508784910,1977.0,500715280.0,0.026342247779318557
1979,72345890.0,3400581110,1818437750,4218991130,5661228680,1129275760,3737821000,9063140.0,20047744460,1978.0,538959550.0,0.02762650531472798
1980,75863800.0,3249026000,1756690610,4110757590,5803598300,1091200570,3691707520,9198670.0,19788043060,1979.0,-259701400.0,-0.01295414556576007
1981,76604050.0,3188040490,1618104880,3969215760,5806804250,1077897910,3676680480,9322670.0,19422670490,1980.0,-365372570.0,-0.018464310436971526
1982,77932790.0,3171577810,1633223290,3793784100,5801810740,1037036300,3644392870,9445150.0,19169203050,1981.0,-253467440.0,-0.013050081868530943
1983,82248040.0,3181483730,1618440870,3710433940,5961703230,1064411780,3678948600,9566070.0,19307236260,1982.0,138033210.0,0.007200779794546545
1984,85775430.0,3296396890,1618055400,3842488410,6165640850,1123617830,3784876150,9685440.0,19926536400,1983.0,619300140.0,0.032076063692401305
1985,86905960.0,3374636230,1642885830,3757591780,6317995250,1133304540,3862679610,9803160.0,20185802360,1984.0,259265960.0,0.013011090075844792
1986,90373420.0,3405042660,1658374520,3729015000,6479744220,1165317800,4003922320,9917890.0,20541707830,1985.0,355905470.0,0.017631475016581903
1987,91511220.0,3463971950,1670532420,3854996430,6753522570,1203529330,4142500320,10031260.0,21190595500,1986.0,648887670.0,0.03158878878864864
1988,95523290.0,3534890310,1747326990,3968023100,6989810430,1262721960,4338550690,10143790.0,21946990560,1987.0,756395060.0,0.035694846801261434
1989,94096440.0,3467937080,1798752150,3941588060,7282989480,1275371860,4462220430,10256020.0,22333211520,1988.0,386220960.0,0.0175979006754537
1990,91738160.0,3351254260,1563420110,3955735160,7639708450,1293143550,4611381950,10387770.0,22516769410,1989.0,183557890.0,0.008219054829423833
1991,90038550.0,3377201510,1585177510,3878488960,7786157990,1278359950,4648991550,10390330.0,22654806350,1990.0,138036940.0,0.006130406075868768
1992,89737610.0,3185506830,1558310800,3745621340,7924613650,1295452100,4753842250,11168200.0,22564252780,1991.0,-90553570.0,-0.003997101921818016
1993,87904430.0,3258535080,1564858120,3696109400,7943627740,1314783180,4795287410,10929020.0,22672034380,1992.0,107781600.0,0.0047766527458659325
1994,91277940.0,3149052160,1643045320,3712686810,8020505270,1371805810,4891447560,11761960.0,22891582830,1993.0,219548450.0,0.009683667831488177
1995,97937740.0,3174313440,1700520360,3939226580,8176822860,1431389700,5026125510,11807350.0,23558143540,1994.0,666560710.0,0.029118157313545626
1996,103317450.0,3170749220,1701551910,3829266640,8516031840,1449415410,5231471770,13097490.0,24014901730,1995.0,456758190.0,0.01938854771066566
1997,103029450.0,3195633250,1778945140,3855030680,8736332760,1494099270,5307385700,13835710.0,24484291960,1996.0,469390230.0,0.019545790163014755
1998,104695590.0,3022733840,1793734970,3854717010,8914192670,1508046400,5431058300,13308450.0,24642487230,1997.0,158195270.0,0.006461092289637932
1999,108263180.0,3102306220,1778977530,3697124000,8988256060,1541921320,5591771530,13253550.0,24821873390,1998.0,179386160.0,0.007279547649784863
2000,107027680.0,3036431370,1852494730,3872891320,9370957270,1595057920,5771689050,14448300.0,25620997640,1999.0,799124250.0,0.03219435686598674
2001,108415560.0,3072940740,1850394710,3895712870,9575797970,1619542120,5801170570,14862160.0,25938836700,2000.0,317839060.0,0.01240541310943269
2002,113344350.0,3073192410,1886410300,3889990220,9715084030,1699133770,5952749870,14097140.0,26344002090,2001.0,405165390.0,0.01562002932845481
2003,114831480.0,3175929020,2041107140,4075758280,10271797150,1789658010,6077741780,15420620.0,27562243480,2002.0,1218241390.0,0.0462435960124083
2004,119221980.0,3251775750,2045710230,4506892810,10647792190,1900689790,6359840910,14529580.0,28846453240,2003.0,1284209760.0,0.04659307798843957
2005,108571240.0,3272048920,2095054250,4924117200,10995674800,2014979930,6500240670,13901810.0,29924588820,2004.0,1078135580.0,0.037374978858926086
